ident,name,sphere,rarity,type,target,overland_cost,combat_cost,upkeep,research_cost,effect_kind,description
SPELL_CREATURE_BINDING,Creature Binding,sorcery,very rare,Unit Curse,Enemy fant. unit,0,70,0,2250,unit_enchant,"Creature Binding Realm Sorcery Spell Rarity Very Rare Spell Type Unit Curse Combat Cost 70 Research Cost 2,250 Effects If the target enemy Fantastic Unit fails a Resistance roll at -2 , control of tha"
SPELL_DISENCHANT_TRUE,Disenchant True,sorcery,uncommon,Instant Spell,Map square,50,50,0,350,instant_damage,
SPELL_DISJUNCTION_TRUE,Disjunction True,sorcery,rare,Instant Spell,Enemy global,200,0,0,880,dispel,
SPELL_DISPEL_MAGIC_TRUE,Dispel Magic True,sorcery,common,Combat Instant,Enemy unit,0,10,0,40,dispel,
SPELL_DJINN,Djinn,sorcery,very rare,Summoning Spell,--,650,0,17,1850,summon,"Djinn Realm Sorcery Spell Properties Spell Rarity Very Rare Casting Cost 650 Upkeep Cost 17 per turn Research Cost 1,850 Unit Properties # of Figures 1 Moves 3 Melee Attack per figure 15 Ranged Attack"
SPELL_ENCHANT_ROAD,Enchant Road,sorcery,uncommon,Instant Spell,Map square,100,0,0,500,instant_damage,Enchant Road Realm Sorcery Spell Rarity Uncommon Spell Type Instant Spell Casting Cost 100 Research Cost 500 Effects Turns all Roads in a 5x5 tile area of the overland map into Enchanted Roads .
SPELL_FLIGHT,Flight,sorcery,uncommon,Unit Enchantment,Friendly unit,125,25,3,560,unit_enchant,Flight Realm Sorcery Spell Rarity Uncommon Spell Type Unit Enchantment Casting Cost 125 Combat Cost 25 Upkeep Cost 3 Research Cost 560 Effects Changes a unit's Movement type to Flying .
SPELL_FLOATING_ISLAND,Floating Island,sorcery,common,Summoning Spell,Map square,50,0,5,60,summon,Floating Island Realm Sorcery Spell Properties Spell Rarity Common Casting Cost 50 Upkeep Cost 5 per turn Research Cost 60 Unit Properties # of Figures 1 Moves 2 Resistance 10 Hit Points per figure 45
SPELL_FLYING_FORTRESS,Flying Fortress,sorcery,very rare,Town Enchantment,Friendly city,500,0,25,4000,city_enchant,"Buggy Feature As of Master of Magic v1.31 , Flying Fortress is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_GREAT_UNSUMMONING,Great Unsummoning,sorcery,very rare,Instant Spell,--,1000,0,0,3000,instant_damage,"Great Unsummoning Realm Sorcery Spell Rarity Very Rare Spell Type Instant Spell Casting Cost 1,000 Research Cost 3,000 Effects Each and every Fantastic Unit in the world, whether enemy or friendly (ex"
SPELL_GUARDIAN_WIND,Guardian Wind,sorcery,common,Unit Enchantment,Friendly unit,50,10,2,80,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Guardian Wind is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_HASTE,Haste,sorcery,rare,Unit Enchantment,Friendly unit,0,50,0,1700,unit_enchant,"Haste Realm Sorcery Spell Rarity Rare Spell Type Unit Enchantment Combat Cost 50 Research Cost 1,700 Effects The enchanted unit gets double its normal Movement Allowance every turn."
SPELL_INVISIBILITY,Invisibility,sorcery,rare,Unit Enchantment,Friendly unit,175,35,10,960,unit_enchant,"This article is about the unit ability called ""Invisibility"". For the Sorcery spells that grant this ability, see Invisibility (Spell) or Mass Invisibility ."
SPELL_MAGIC_IMMUNITY,Magic Immunity,sorcery,rare,Unit Enchantment,Friendly unit,250,50,5,1600,unit_enchant,Magic Immunity is one of the many Unit Abilities available in Master of Magic . It is arguably the most powerful immunity in the game.
SPELL_MASS_INVISIBILITY,Mass Invisibility,sorcery,very rare,Combat Enchantment,--,0,80,0,2500,unit_enchant,"Mass Invisibility Realm Sorcery Spell Rarity Very Rare Spell Type Combat Enchantment Combat Cost 80 Research Cost 2,500 Effects All friendly units on the battlefield gain Invisibility , hiding them fr"
SPELL_MIND_STORM,Mind Storm,sorcery,rare,Unit Curse,Enemy unit,0,35,0,1400,unit_enchant,"Mind Storm Realm Sorcery Spell Rarity Rare Spell Type Unit Curse Combat Cost 35 Research Cost 1,400 Effects With no chance to Resist , the target unit is inflicted with the following ill effects: -5 A"
SPELL_NAGAS,Nagas,sorcery,common,Summoning Spell,--,100,0,2,220,summon,Nagas Realm Sorcery Spell Properties Spell Rarity Common Casting Cost 100 Upkeep Cost 2 per turn Research Cost 220 Unit Properties # of Figures 2 Moves 1 / 1 Melee Attack per figure 4 Defense per figu
SPELL_PHANTOM_BEAST,Phantom Beast,sorcery,uncommon,Summoning Spell,Combat tile,0,35,0,800,summon,Phantom Beast Realm Sorcery Spell Properties Spell Rarity Uncommon Casting Cost 35 Research Cost 800 Unit Properties # of Figures 1 Moves 2 / 2 Melee Attack per figure 18 Resistance 8 Hit Points per f
SPELL_PHANTOM_WARRIORS,Phantom Warriors,sorcery,common,Summoning Spell,Combat tile,0,10,0,100,summon,Phantom Warriors Realm Sorcery Spell Properties Spell Rarity Common Casting Cost 10 Research Cost 100 Unit Properties # of Figures 6 Moves 1 / 1 Melee Attack per figure 3 Resistance 6 Hit Points per f
SPELL_PSIONIC_BLAST,Psionic Blast,sorcery,common,Combat Instant,Enemy unit,0,10,0,250,instant_damage,Psionic Blast Realm Sorcery Spell Rarity Common Spell Type Combat Instant Casting Cost 10 + up to 40 Research Cost 250 Effects Strikes the target unit with an Illusory 5-25 attack.
SPELL_RESIST_MAGIC,Resist Magic,sorcery,common,Unit Enchantment,Friendly unit,25,5,1,20,unit_enchant,Resist Magic Realm Sorcery Spell Rarity Common Spell Type Unit Enchantment Casting Cost 25 Combat Cost 5 Upkeep Cost 1 Research Cost 20 Effects Grants the enchanted unit a +5 bonus when attempting to
SPELL_SKY_DRAKE,Sky Drake,sorcery,very rare,Summoning Spell,--,1000,0,25,4500,summon,"Sky Drake Realm Sorcery Spell Properties Spell Rarity Very Rare Casting Cost 1,000 Upkeep Cost 25 per turn Research Cost 4,500 Unit Properties # of Figures 1 Moves 4 Melee Attack per figure 20 Defense"
SPELL_SPELL_BINDING,Spell Binding,sorcery,very rare,Instant Spell,Enemy global,1000,0,0,3500,instant_damage,"Spell Binding Realm Sorcery Spell Rarity Very Rare Spell Type Instant Spell Casting Cost 1,000 Research Cost 3,500 Effects Transfers the ownership of a Global Enchantment to the caster, who is now in"
SPELL_SPELL_BLAST,Spell Blast,sorcery,uncommon,Instant Spell,Enemy wizard,50,0,0,680,instant_damage,Spell Blast Realm Sorcery Spell Rarity Uncommon Spell Type Instant Spell Casting Cost 50 * Research Cost 680 Effects Counters an enemy overland spell while it is being cast.
SPELL_SPELL_LOCK,Spell Lock,sorcery,uncommon,Unit Enchantment,Friendly unit,100,20,1,450,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Spell Lock is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_SPELL_WARD,Spell Ward,sorcery,very rare,Town Enchantment,Friendly city,350,0,5,2000,city_enchant,"Buggy Feature As of Master of Magic v1.31 , Spell Ward is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_STASIS,Stasis,sorcery,rare,Instant Spell,Map square,250,0,0,1500,instant_damage,"Stasis Realm Sorcery Spell Rarity Rare Spell Type Instant Spell Casting Cost 250 Research Cost 1,500 Effects Each unit in the targeted map tile remains motionless during its controller's next turn."
SPELL_STORM_GIANT,Storm Giant,sorcery,rare,Summoning Spell,--,500,0,10,1200,summon,"Storm Giant Realm Sorcery Spell Properties Spell Rarity Rare Casting Cost 500 Upkeep Cost 10 per turn Research Cost 1,200 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 12 Ranged Attac"
SPELL_SUPPRESS_MAGIC,Suppress Magic,sorcery,very rare,Global Enchantment,--,1250,0,50,5000,global_enchant,"Suppress Magic Realm Sorcery Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,250 Upkeep Cost 50 Research Cost 5,000 Effects While Suppress Magic is in effect, any overland spell ca"
SPELL_TIME_STOP,Time Stop,sorcery,very rare,Global Enchantment,--,1500,0,200,6000,global_enchant,"Time Stop Realm Sorcery Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,500 Upkeep Cost 200 * Research Cost 6,000 Effects While Time Stop is in effect, all rival Wizards skip their"
SPELL_VERTIGO,Vertigo,sorcery,uncommon,Unit Curse,Enemy unit,0,25,0,400,unit_enchant,Vertigo Realm Sorcery Spell Rarity Uncommon Spell Type Unit Curse Combat Cost 25 Research Cost 400 Effects The target unit is inflicted with the following ill effects if it fails a Resistance roll: -2
SPELL_WIND_MASTERY,Wind Mastery,sorcery,uncommon,Global Enchantment,--,400,0,5,620,global_enchant,Wind Mastery Realm Sorcery Spell Rarity Uncommon Spell Type Global Enchantment Casting Cost 400 Upkeep Cost 5 Research Cost 620 Effects All of the casting Wizard's Ships (see list in article) receive
SPELL_WIND_WALKING,Wind Walking,sorcery,rare,Unit Enchantment,Friendly unit,250,0,10,1040,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Wind Walking is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_WORD_OF_RECALL,Word of Recall,sorcery,common,Instant Spell,Friendly unit,20,20,0,160,instant_damage,Word of Recall Realm Sorcery Spell Rarity Common Spell Type Instant Spell / Combat Instant Casting Cost 20 Combat Cost 20 Research Cost 160 Effects Instantly returns a friendly unit to the Town curren
SPELL_ARMAGEDDON,Armageddon,chaos,very rare,Global Enchantment,--,1250,0,40,6000,global_enchant,"Armageddon Realm Chaos Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,250 Upkeep Cost 40 Research Cost 6,000 Effects Every turn, a random number of Volcanoes are created somewhere"
SPELL_CALL_CHAOS,Call Chaos,chaos,very rare,Combat Instant,--,0,75,0,3000,instant_damage,"Call Chaos Realm Chaos Spell Rarity Very Rare Spell Type Combat Instant * Combat Cost 75 Research Cost 3,000 Effects Every enemy unit on the battlefield is struck by one of the following spell effects"
SPELL_CALL_THE_VOID,Call the Void,chaos,very rare,Instant Spell,Enemy city,500,0,0,5000,instant_damage,"Call the Void Realm Chaos Spell Rarity Very Rare Spell Type Instant Casting Cost 500 Research Cost 5,000 Effects The target Town suffers the following effects, unless protected by Consecration or Chao"
SPELL_CHAOS_CHANNELS,Chaos Channels,chaos,uncommon,Instant Spell,Friendly normal unit,50,0,0,400,instant_damage,"Buggy Feature As of Master of Magic v1.31 , Chaos Channels is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_CHAOS_RIFT,Chaos Rift,chaos,rare,Town Curse,Enemy city,300,0,10,1700,flavour,"Chaos Rift Realm Chaos Spell Rarity Rare Spell Type Town Curse Casting Cost 300 Upkeep Cost 10 Research Cost 1,700 Effects Each turn, the targeted town suffers the following effects: Five separate Arm"
SPELL_CHAOS_SPAWN,Chaos Spawn,chaos,rare,Summoning Spell,--,500,0,12,1040,summon,"Buggy Feature As of Master of Magic v1.31 , Chaos Spawn is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_CHAOS_SURGE,Chaos Surge,chaos,very rare,Global Enchantment,--,1000,0,40,3500,global_enchant,"Buggy Feature As of Master of Magic v1.31 , Chaos Surge is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_CHIMERAS,Chimeras,chaos,uncommon,Summoning Spell,--,350,0,10,800,summon,Chimeras Realm Chaos Spell Properties Spell Rarity Uncommon Casting Cost 350 Upkeep Cost 10 per turn Research Cost 800 Unit Properties # of Figures 4 Moves 2 Melee Attack per figure 7 Defense per figu
SPELL_CORRUPTION,Corruption,chaos,common,Instant Spell,Map square,40,0,0,100,instant_damage,"This article is about the effect on terrain . For an article about the Chaos spell that causes Corruption, see Corruption (Spell) ."
SPELL_DISINTEGRATE,Disintegrate,chaos,very rare,Combat Instant,Enemy unit,0,50,0,2000,instant_damage,"Disintegrate Realm Chaos Spell Rarity Very Rare Spell Type Combat Instant Combat Cost 50 Research Cost 2,000 Effects If the target unit has 9 or less, it is entirely destroyed."
SPELL_DISRUPT,Disrupt,chaos,common,Combat Instant,Combat tile,0,15,0,40,instant_damage,Disrupt Realm Chaos Spell Rarity Common Spell Type Combat Instant Casting Cost 15 Research Cost 40 Effects A targeted section of Wall is destroyed.
SPELL_DOOM_BAT,Doom Bat,chaos,uncommon,Summoning Spell,--,300,0,8,620,summon,Doom Bat Realm Chaos Spell Properties Spell Rarity Uncommon Casting Cost 300 Upkeep Cost 8 per turn Research Cost 620 Unit Properties # of Figures 1 Moves 4 Melee Attack per figure 10 Defense per figu
SPELL_DOOM_BOLT,Doom Bolt,chaos,rare,Combat Instant,Enemy unit,0,40,0,1120,instant_damage,"Doom Bolt Realm Chaos Spell Rarity Rare Spell Type Combat Instant Casting Cost 40 Research Cost 1,120 Effects Target unit receives exactly 10 points of damage regardless of its defensive properties."
SPELL_DOOM_MASTERY,Doom Mastery,chaos,very rare,Global Enchantment,--,1100,0,15,4000,global_enchant,"Doom Mastery Realm Chaos Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,100 Upkeep Cost 15 Research Cost 4,000 Effects Every Normal Unit created in the caster's Towns immediately"
SPELL_EFREET,Efreet,chaos,rare,Summoning Spell,--,550,0,15,1300,summon,"Efreet Realm Chaos Spell Properties Spell Rarity Rare Casting Cost 550 Upkeep Cost 15 per turn Research Cost 1,300 Unit Properties # of Figures 1 Moves 3 Melee Attack per figure 9 Ranged Attack per fi"
SPELL_ELDRITCH_WEAPON,Eldritch Weapon,chaos,common,Unit Enchantment,Friendly normal unit,75,15,1,130,unit_enchant,Eldritch Weapon Realm Chaos Spell Rarity Common Spell Type Unit Enchantment Casting Cost 75 Combat Cost 15 Upkeep Cost 1 Research Cost 130 Effects When the enchanted unit attacks a target with a Range
SPELL_FIRE_BOLT,Fire Bolt,chaos,common,Combat Instant,Enemy unit,0,5,0,60,instant_damage,Fire Bolt Realm Chaos Spell Rarity Common Spell Type Combat Instant Casting Cost 5-25 Research Cost 60 Effects Strikes the target unit with a 5-25 Fire Damage attack.
SPELL_FIRE_ELEMENTAL,Fire Elemental,chaos,common,Summoning Spell,Combat tile,0,20,0,250,summon,Fire Elemental Realm Chaos Spell Properties Spell Rarity Common Casting Cost 20 Research Cost 250 Unit Properties # of Figures 1 Moves 1 Melee Attack per figure 12 Defense per figure 4 Resistance 6 Hi
SPELL_FIRE_GIANT,Fire Giant,chaos,uncommon,Summoning Spell,--,150,0,3,350,summon,Fire Giant Realm Chaos Spell Properties Spell Rarity Uncommon Casting Cost 150 Upkeep Cost 3 per turn Research Cost 350 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 10 Ranged Attack
SPELL_FIRE_STORM,Fire Storm,chaos,rare,Instant Spell,Map square,250,0,0,1400,instant_damage,"Fire Storm Realm Chaos Spell Rarity Rare Spell Type Instant Casting Cost 250 Research Cost 1,400 Effects Strikes all enemy units in the targeted stack with an 8 -strength Immolation Damage attack."
SPELL_FIREBALL,Fireball,chaos,uncommon,Combat Instant,Enemy unit,0,15,0,560,instant_damage,Fireball Realm Chaos Spell Rarity Uncommon Spell Type Combat Instant Casting Cost 15-75 Research Cost 560 Effects The target is hit by an Area Damage attack with a strength of 5-25 (delivering Immolat
SPELL_FLAME_BLADE,Flame Blade,chaos,uncommon,Unit Enchantment,Friendly unit,125,25,2,450,unit_enchant,Flame Blade Realm Chaos Spell Rarity Uncommon Spell Type Unit Enchantment Casting Cost 125 Combat Cost 25 Upkeep Cost 2 Research Cost 450 Effects The enchanted unit gets the following bonuses: +2 +2 +
SPELL_FLAME_STRIKE,Flame Strike,chaos,rare,Combat Instant,--,0,60,0,1600,instant_damage,"Flame Strike Realm Chaos Spell Rarity Rare Spell Type Combat Instant Casting Cost 60 Research Cost 1,600 Effects Every enemy unit on the battlefield is hit with a 15 -strength Immolation Damage attack"
SPELL_GARGOYLES,Gargoyles,chaos,uncommon,Summoning Spell,--,200,0,5,500,summon,Gargoyles Realm Chaos Spell Properties Spell Rarity Uncommon Casting Cost 200 Upkeep Cost 5 per turn Research Cost 500 Unit Properties # of Figures 4 Moves 2 Melee Attack per figure 4 Defense per figu
SPELL_GREAT_DRAKE,Great Drake,chaos,very rare,Summoning Spell,--,900,0,30,4500,summon,"Great Drake Realm Chaos Spell Properties Spell Rarity Very Rare Casting Cost 900 Upkeep Cost 30 per turn Research Cost 4,500 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 30 Defense p"
SPELL_GREAT_WASTING,Great Wasting,chaos,very rare,Global Enchantment,--,1000,0,20,2500,global_enchant,"Great Wasting Realm Chaos Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,000 Upkeep Cost 20 Research Cost 2,500 Effects Each turn, anywhere between 3 and 6 random land tiles on th"
SPELL_HELL_HOUNDS,Hell Hounds,chaos,common,Summoning Spell,--,40,0,1,80,summon,Hell Hounds Realm Chaos Spell Properties Spell Rarity Common Casting Cost 40 Upkeep Cost 1 per turn Research Cost 80 Unit Properties # of Figures 4 Moves 2 Melee Attack per figure 3 Defense per figure
SPELL_HYDRA,Hydra,chaos,very rare,Summoning Spell,--,650,0,14,1850,summon,"Hydra Realm Chaos Spell Properties Spell Rarity Very Rare Casting Cost 650 Upkeep Cost 14 per turn Research Cost 1,850 Unit Properties # of Figures 9 * Moves 1 Melee Attack per figure 6 Defense per fi"
SPELL_IMMOLATION,Immolation,chaos,uncommon,Unit Enchantment,Friendly unit,150,30,2,740,unit_enchant,"This article is about the unit ability called ""Immolation"". For the Chaos Unit Enchantment of the same name, see Immolation (Spell) ."
SPELL_LIGHTNING_BOLT,Lightning Bolt,chaos,uncommon,Combat Instant,Enemy unit,0,10,0,300,instant_damage,Lightning Bolt Realm Chaos Spell Rarity Uncommon Spell Type Combat Instant Casting Cost 10-50 Research Cost 300 Effects Strikes the target unit with a 5-45 Armor Piercing Damage attack.
SPELL_MAGIC_VORTEX,Magic Vortex,chaos,rare,Combat Instant,Combat tile,0,50,0,1200,instant_damage,"Buggy Feature As of Master of Magic v1.31 , Magic Vortex is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_METAL_FIRES,Metal Fires,chaos,rare,Combat Enchantment,--,0,40,0,960,unit_enchant,Metal Fires Realm Chaos Spell Rarity Rare Spell Type Combat Enchantment Combat Cost 40 Research Cost 960 Effects All friendly Normal Units and Heroes receive the following bonuses: +1 +1 +1 (if the un
SPELL_METEOR_STORM,Meteor Storm,chaos,very rare,Global Enchantment,--,900,0,10,2250,global_enchant,"Meteor Storm Realm Chaos Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 900 Upkeep Cost 10 Research Cost 2,250 Effects The following effects occur each turn: Every unit that is not"
SPELL_RAISE_VOLCANO,Raise Volcano,chaos,uncommon,Instant Spell,Map square,200,0,0,680,instant_damage,"Raise Volcano Realm Chaos Spell Rarity Uncommon Spell Type Instant Casting Cost 200 Research Cost 680 Effects Turns a targeted tile into a Volcano , potentially destroying specific assets in that tile"
SPELL_SHATTER,Shatter,chaos,common,Unit Curse,Enemy unit,0,12,0,190,unit_enchant,"Shatter Realm Chaos Spell Rarity Common Spell Type Unit Curse Combat Cost 12 Research Cost 190 Effects If the target enemy Normal Unit or Hero fails a Resistance roll (with no penalty), Shatter inflic"
SPELL_WALL_OF_FIRE,Wall of Fire,chaos,common,Town Enchantment,Friendly city,150,30,2,160,city_enchant,"Wall of Fire Realm Chaos Spell Rarity Common Spell Type Town Enchantment / Combat Instant Casting Cost 150 Combat Cost 30 Upkeep Cost 2 Research Cost 160 Effects During combat at the enchanted town, a"
SPELL_WARP_CREATURE,Warp Creature,chaos,common,Unit Curse,Enemy unit,0,18,0,220,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Warp Creature is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_WARP_LIGHTNING,Warp Lightning,chaos,rare,Combat Instant,Enemy unit,0,35,0,880,instant_damage,"Warp Lightning Realm Chaos Spell Rarity Rare Spell Type Combat Instant Casting Cost 35 Research Cost 880 Effects Strikes the target unit with a succession of 10 Magical Armor Piercing Damage attacks,"
SPELL_WARP_REALITY,Warp Reality,chaos,rare,Combat Enchantment,--,0,50,0,1500,unit_enchant,"Warp Reality Realm Chaos Spell Rarity Rare Spell Type Combat Enchantment Combat Cost 50 Research Cost 1,500 Effects All Normal Units , all Heroes and all Fantastic Creatures that do not belong to the"
SPELL_WARP_WOOD,Warp Wood,chaos,common,Combat Instant,Enemy normal unit,0,10,0,20,instant_damage,Warp Wood Realm Chaos Spell Rarity Common Spell Type Combat Instant Casting Cost 10 Research Cost 20 Effects Target Normal Unit or Hero with a Ranged Missile Attack instantly loses all of its ammuniti
SPELL_ANIMATE_DEAD,Animate Dead,death,very rare,Combat Instant,Dead unit,0,50,0,3000,instant_damage,"Animate Dead Realm Death Spell Rarity Very Rare Spell Type Combat Instant Casting Cost 50 Research Cost 3,000 Effects Brings back a unit that has died during the current battle as an Undead unit with"
SPELL_BERSERK,Berserk,death,uncommon,Unit Enchantment,Friendly unit,0,30,0,740,unit_enchant,"Berserk Realm Death Spell Rarity Uncommon Spell Type Unit Enchantment Combat Cost 30 Research Cost 740 Effects The enchanted unit's Melee Attack strength is doubled, while its Defense score is reduced"
SPELL_BLACK_CHANNELS,Black Channels,death,uncommon,Unit Enchantment,Friendly normal unit,100,0,1,500,unit_enchant,"Black Channels Realm Death Spell Rarity Uncommon Spell Type Unit Enchantment Casting Cost 100 Upkeep Cost 1 Research Cost 500 Effects Target Normal Unit , Hero or Undead receives the following bonuses"
SPELL_BLACK_PRAYER,Black Prayer,death,uncommon,Combat Enchantment,--,0,35,0,450,unit_enchant,Black Prayer Realm Death Spell Rarity Uncommon Spell Type Combat Enchantment Combat Cost 35 Research Cost 450 Effects Every enemy unit on the battlefield suffers the following penalties: -1 to all Att
SPELL_BLACK_SLEEP,Black Sleep,death,common,Unit Curse,Enemy unit,0,15,0,100,unit_enchant,Black Sleep Realm Death Spell Rarity Common Spell Type Unit Curse Combat Cost 15 Research Cost 100 Effects Target unit must succeed a Resistance roll at a penalty of -2 or fall asleep.
SPELL_BLACK_WIND,Black Wind,death,rare,Instant Spell,Map square,200,0,0,1400,instant_damage,"Black Wind Realm Death Spell Rarity Rare Spell Type Instant Spell Casting Cost 200 Research Cost 1,400 Effects Each Figure inside each unit in the targeted enemy stack must Resistance at a penalty of"
SPELL_CLOAK_OF_FEAR,Cloak of Fear,death,common,Unit Enchantment,Friendly unit,60,12,1,80,unit_enchant,"Buggy Feature As of Master of Magic v1.31 , Cloak of Fear is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_CLOUD_OF_SHADOW,Cloud of Shadow,death,rare,Town Enchantment,Friendly city,150,0,3,1200,city_enchant,"Cloud of Shadow Realm Death Spell Rarity Rare Spell Type Town Enchantment Casting Cost 150 Upkeep Cost 3 Research Cost 1,200 Effects Every battle taking place at the target town will be under an effec"
SPELL_CRUEL_UNMINDING,Cruel Unminding,death,very rare,Instant Spell,Enemy wizard,250,0,0,1850,instant_damage,"Cruel Unminding Realm Death Spell Rarity Very Rare Spell Type Instant Spell Casting Cost 250 Research Cost 1,850 Effects Target wizard loses 1% to 10% of his current Spell Casting Skill ."
SPELL_CURSED_LANDS,Cursed Lands,death,rare,Town Curse,Enemy city,150,0,2,1700,flavour,"Cursed Lands Realm Death Spell Rarity Rare Spell Type Town Curse Casting Cost 150 Upkeep Cost 2 Research Cost 1,700 Effects Target enemy Town 's Production is reduced by about 50%."
SPELL_DARK_RITUALS,Dark Rituals,death,common,Town Enchantment,Friendly city,30,0,0,60,city_enchant,Dark Rituals Realm Death Spell Rarity Common Spell Type Town Enchantment Casting Cost 30 Upkeep Cost None Research Cost 60 Effects The enchanted town produces an extra amount of Power equal to the amo
SPELL_DARKNESS,Darkness,death,common,Combat Enchantment,--,0,25,0,250,unit_enchant,"Darkness Realm Death Spell Rarity Common Spell Type Combat Enchantment Combat Cost 25 Research Cost 250 Effects All Fantastic Units of the Death Realm receive +1 , +1 , and a universal Attack Strength"
SPELL_DEATH_KNIGHTS,Death Knights,death,very rare,Summoning Spell,--,600,0,8,2250,summon,"Death Knights Realm Death Spell Properties Spell Rarity Very Rare Casting Cost 600 Upkeep Cost 8 per turn Research Cost 2,250 Unit Properties # of Figures 4 Moves 3 Melee Attack per figure 9 Defense p"
SPELL_DEATH_SPELL,Death Spell,death,very rare,Combat Instant,--,0,50,0,2500,instant_damage,"Death Spell Realm Death Spell Rarity Very Rare Spell Type Combat Instant Casting Cost 50 Research Cost 2,500 Effects Each figure in each enemy unit on the battlefield must make a Resistance roll at a"
SPELL_DEATH_WISH,Death Wish,death,very rare,Instant Spell,--,500,0,0,5000,instant_damage,"Death Wish Realm Death Spell Rarity Very Rare Spell Type Instant Spell Casting Cost 500 Research Cost 5,000 Effects Each and every enemy Normal Unit and Hero on both Planes must succeed a Resistance r"
SPELL_DEMON_LORD,Demon Lord,death,very rare,Summoning Spell,--,1000,0,15,6000,summon,"Demon Lord Realm Death Spell Properties Spell Rarity Very Rare Casting Cost 1,000 Upkeep Cost 15 per turn Research Cost 6,000 Unit Properties # of Figures 1 Moves 2 Melee Attack per figure 20 Ranged A"
SPELL_DRAIN_POWER,Drain Power,death,uncommon,Instant Spell,Enemy wizard,50,0,0,300,instant_damage,"Drain Power Realm Death Spell Rarity Uncommon Spell Type Instant Casting Cost 50 Research Cost 300 Effects The targeted rival wizard loses between 50 and 150 , or as much Mana as that wizard has left"
SPELL_ETERNAL_NIGHT,Eternal Night,death,very rare,Global Enchantment,--,1000,0,15,4000,global_enchant,"Eternal Night Realm Death Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,000 Upkeep Cost 15 Research Cost 4,000 Effects Every battle is automatically affected by an equivalent of"
SPELL_EVIL_OMENS,Evil Omens,death,very rare,Global Enchantment,--,1100,0,10,4500,global_enchant,"Evil Omens Realm Death Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,100 Upkeep Cost 10 Research Cost 4,500 Effects All Life and Nature spells' Casting Costs are increased by 50%"
SPELL_EVIL_PRESENCE,Evil Presence,death,rare,Town Curse,Enemy city,100,0,4,1040,flavour,"Buggy Feature As of Master of Magic v1.31 , Evil Presence is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_FAMINE,Famine,death,rare,Town Curse,Enemy city,200,0,5,1600,flavour,"Famine Realm Death Spell Rarity Rare Spell Type Town Curse Casting Cost 200 Upkeep Cost 5 Research Cost 1,600 Effects Target enemy Town 's Food output is reduced by about 50%, and Unrest is increased"
SPELL_GHOULS,Ghouls,death,common,Summoning Spell,--,80,0,1,130,summon,Ghouls Realm Death Spell Properties Spell Rarity Common Casting Cost 80 Upkeep Cost 1 per turn Research Cost 130 Unit Properties # of Figures 4 Moves 1 Melee Attack per figure 4 Defense per figure 3 R
SPELL_LIFE_DRAIN,Life Drain,death,common,Combat Instant,Enemy unit,0,10,0,160,instant_damage,"Life Drain Realm Death Spell Rarity Common Spell Type Combat Instant Casting Cost 10-50 Research Cost 160 Effects Target makes a Resistance roll, and suffers an amount of Damage based on how badly it"
SPELL_LYCANTHROPY,Lycanthropy,death,uncommon,Summoning Spell,Friendly normal unit,180,0,5,400,summon,Lycanthropy Realm Death Spell Rarity Uncommon Spell Type Summoning Spell / Instant Spell Casting Cost 180 Research Cost 400 Effects Target friendly Normal Unit is instantly and permanently transformed
SPELL_MANA_LEAK,Mana Leak,death,common,Combat Enchantment,--,0,20,0,220,unit_enchant,"Mana Leak Realm Death Spell Rarity Common Spell Type Combat Enchantment Combat Cost 20 Research Cost 220 Effects At the start of each turn, each and every enemy spellcasting unit loses 5 ."
